Feature,Coeficiente,Abs_Coef
Protocol,-1.0000079,1.0000079
Bwd Packet Length Min,-0.6035265,0.6035265
URG Flag Count,-0.5917032,0.5917032
Bwd IAT Total,-0.56109554,0.56109554
Flow IAT Mean,0.5002205,0.5002205
ACK Flag Count,0.500111,0.500111
Fwd Packet Length Max,-0.50007844,0.50007844
Packet Length Variance,0.5000082,0.5000082
Fwd Packet Length Std,-0.50000703,0.50000703
FIN Flag Count,0.4386303,0.4386303
Flow IAT Std,0.39270028,0.39270028
Packet Length Min,-0.37997273,0.37997273
Fwd IAT Std,0.3020484,0.3020484
Init Fwd Win Bytes,-0.25319874,0.25319874
Bwd Packet Length Std,0.25259185,0.25259185
Packet Length Std,0.25092837,0.25092837
Avg Packet Size,0.25081986,0.25081986
Fwd IAT Total,-0.25000218,0.25000218
Flow Duration,-0.25000215,0.25000215
Active Std,0.23972264,0.23972264
Fwd IAT Min,-0.2312048,0.2312048
Active Max,-0.22987707,0.22987707
Packet Length Mean,0.22527733,0.22527733
Init Bwd Win Bytes,-0.21355072,0.21355072
Flow Packets/s,-0.20264176,0.20264176
Bwd Packets/s,-0.20063321,0.20063321
Avg Fwd Segment Size,-0.19437248,0.19437248
Fwd Packet Length Mean,-0.19437248,0.19437248
Fwd Packets/s,-0.19192511,0.19192511
Bwd Packet Length Max,0.17736967,0.17736967
Bwd IAT Std,0.17639318,0.17639318
Active Mean,0.17440955,0.17440955
Packet Length Max,0.16441435,0.16441435
Fwd Packet Length Min,0.1507483,0.1507483
Bwd IAT Max,-0.13158645,0.13158645
Fwd IAT Max,0.12540422,0.12540422
Flow IAT Max,0.12531325,0.12531325
Idle Max,0.12529977,0.12529977
Bwd IAT Mean,0.12513226,0.12513226
Flow IAT Min,-0.1250059,0.1250059
Idle Std,0.12500001,0.12500001
Fwd PSH Flags,-0.12467624,0.12467624
SYN Flag Count,-0.12467624,0.12467624
Fwd IAT Mean,0.11428035,0.11428035
Bwd Packet Length Mean,0.096150346,0.096150346
Avg Bwd Segment Size,0.096150346,0.096150346
Idle Mean,0.08980675,0.08980675
Idle Min,0.08537768,0.08537768
Down/Up Ratio,-0.076158926,0.076158926
Flow Bytes/s,0.06500052,0.06500052
Active Min,0.06254494,0.06254494
Total Backward Packets,-0.058237776,0.058237776
Subflow Bwd Packets,-0.058237776,0.058237776
Subflow Fwd Packets,-0.038276453,0.038276453
Total Fwd Packets,-0.038276453,0.038276453
PSH Flag Count,0.036168795,0.036168795
Bwd Packets Length Total,-0.035041466,0.035041466
Subflow Bwd Bytes,-0.035017297,0.035017297
RST Flag Count,-0.018085815,0.018085815
ECE Flag Count,-0.018085815,0.018085815
Fwd Act Data Packets,-0.015632603,0.015632603
Bwd IAT Min,-0.012640265,0.012640265
Fwd Packets Length Total,-0.004483207,0.004483207
Subflow Fwd Bytes,-0.004483207,0.004483207
Fwd Seg Size Min,0.0039101876,0.0039101876
Fwd Header Length,0.001437185,0.001437185
Bwd Header Length,-0.0007036352,0.0007036352
Fwd URG Flags,0.0,0.0
CWE Flag Count,0.0,0.0
